"filename";"caption";"date1";"date2";"date";"date3";"agent";"role";"agent2";"role2";"copyright";"source";"empty_column";"notes";"mon_id";"class_code";"classification";"agent3";"date_scan";"license";"url";"rights_text";"heidata";"heidoc"
"ACH0071_P_20220421_06";"Vināyaka Pañcadevala Śikhara Temple 2, view from S";"";"";"2022-04-21";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0071";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0071_P_20220421_08";"Vināyaka Pañcadevala Śikhara Temple 2, view from N";"";"";"2022-04-21";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0071";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0071_P_20220421_05";"Vināyaka Pañcadevala Śikhara Temple 2, view from SE";"";"";"2022-04-21";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0071";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0071_P_20220421_10";"Vināyaka Pañcadevala Śikhara Temple 2, sanctum, view from NE";"";"";"2022-04-21";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0071";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0071_P_20220421_09";"Vināyaka Pañcadevala Śikhara Temple 2, sanctum pavement, view from NE";"";"";"2022-04-21";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0071";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0071_H_1968_01";"Vināyaka Pañcadevala Śikhara Temple 2, view from NE";"";"";"";"";"1264428";"photographer";"";"";"";"";"";"";"ACH0071";"4002855-0";"Architekturfotografie";"";"";"Free access - no reuse";"";"";"";""
"ACH0071_P_20220421_07";"Vināyaka Pañcadevala Śikhara Temple 2, view from NW";"";"";"2022-04-21";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0071";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0071_D_2022_site_plan";"Vināyaka Pañcadevala Śikhara Temple 2, site plan";"";"";"2022";"";"";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0071";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0071_D_2022_floor_plan";"Vināyaka Pañcadevala Śikhara Temple 2, floor plan";"";"";"2022";"";"";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0071";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0071_H_1968_03";"Vināyaka Pañcadevala Śikhara Temple 2, view from NW";"";"";"";"";"1264428";"photographer";"";"";"";"";"";"";"ACH0071";"4002855-0";"Architekturfotografie";"";"";"Free access - no reuse";"";"";"";""
